system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,pai,.geo
00120000000000006e90_0,990,1046,925,1207,1772,1947,1992,32767,32767,3657,10,1708,1672,1486,1709,2245,2398,2614,-22048,32767,2751,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.859397176741037,50.76671224608343]}"
00120000000000006e92_0,901,929,807,1068,1639,1873,1848,-32768,32767,3920,10,1588,1546,1310,1507,1950,2132,2248,-13020,32767,2636,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.860951870959228,50.76643098790079]}"
00120000000000006ea7_0,1088,1268,1118,2004,3831,4472,4596,27647,32767,6086,5,8124,7676,7472,7857,7875,7870,8048,-1789,32767,371,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.873710251396952,50.758602062937186]}"
00120000000000006ed9_0,12736,11944,11776,12414,12138,12175,12352,-1150,32767,238,9,13512,13376,12520,12272,11784,11375,13008,-923,-32768,191,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.91690652222939,50.756202030746636]}"
00120000000000006edb_0,15208,14952,11512,11265,11056,10972,15432,-3315,-32768,1454,9,12176,11584,11168,11610,11470,11304,11608,-865,32767,193,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.918460514077234,50.755920009116224]}"
00120000000000009650_0,5724,5316,4988,5392,5539,5552,5876,-3115,32767,817,9,563,636,538,911,2168,2587,2662,31824,32767,6637,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.385869224844466,50.83012169966912]}"
001200000000000096a4_0,6180,5724,5460,5884,5931,5907,6112,-2180,32767,563,9,212,362,213,574,1879,2312,2690,26029,32767,8532,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.45164404400016,50.818644623279674]}"
001200000000000096ab_0,6372,5928,5640,6087,6141,6077,6352,-2343,32767,593,9,306,408,365,643,1599,1977,1838,21237,32767,6686,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.457029544192736,50.81772436894245]}"
001200000000000096ec_0,5972,5524,5168,5651,5716,5703,6024,-2758,32767,764,9,3038,2700,2442,2656,2945,3024,3030,-2881,32767,1074,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.507896330199705,50.80888089080751]}"
00120000000000009703_0,5716,5328,4976,5467,5606,5587,5860,-3089,32767,815,9,11168,10160,9360,9831,9260,8818,10080,-1027,-32768,370,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.52588631050541,50.8057436119108]}"
00120000000000009773_0,5316,5008,4696,5089,5345,5366,5688,-4129,32767,955,9,379,722,441,1009,2252,2604,3104,22889,32767,7511,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.613393912972588,50.79047803610077]}"
00120000000000009788_0,5844,5416,5108,5528,5801,5905,6120,-3583,32767,901,9,534,526,491,765,1296,1531,1490,32767,32767,5042,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.629812835988938,50.787602736120796]}"
00120000000000009798_0,5112,4756,4496,4928,5333,5456,5616,-4872,32767,1107,9,305,350,199,440,1650,2226,1954,32767,32767,8151,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.642267851130674,50.78546644825249]}"
0012000000000000979b_0,5072,4804,4528,4933,5372,5448,5680,-5548,32767,1128,9,282,334,224,498,1526,1815,1968,32767,32767,7956,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.644531264590663,50.785004316700224]}"
001200000000000097d9_0,4560,4292,4014,4496,4888,5034,5224,-6184,32767,1309,9,758,843,696,966,1613,1784,1870,32767,32767,4575,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.692920727186639,50.77645337486163]}"
001200000000000097e5_0,4540,4280,4042,4454,4712,4804,5024,-5143,32767,1083,9,1258,1466,1816,2048,2340,2430,2584,4745,32767,1745,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.70225666055199,50.77477880309852]}"
00120000000000009807_0,3614,3444,3254,3582,4034,4166,4208,-7072,32767,1278,9,5356,4996,4636,4712,4823,4767,5680,-3911,32767,1012,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.728848009703134,50.770119173004204]}"
0012000000000000984e_0,3316,3306,3228,3816,4368,4491,4312,-22792,32767,1437,9,7564,7052,6796,7099,6838,6689,7128,-940,-32768,238,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.784130708770245,50.76013806628759]}"
00120000000000009854_0,3958,3630,3510,3906,4376,4488,4740,-7917,32767,1490,9,4576,4620,4816,5504,5611,5674,4940,-6418,32767,127,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.788795469447464,50.75929723579474]}"
00120000000000009866_0,7848,7676,7472,8119,8221,8140,8140,-2836,32767,427,9,9432,8704,8552,8855,8561,8460,8128,938,-32768,-254,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.802788736523269,50.75677362873705]}"
0012000000000000986e_0,7360,7220,6916,7430,7704,7683,8068,-5110,32767,768,9,11512,10504,10144,10700,10194,9895,9928,347,-32768,-107,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.809007477460888,50.755651488556026]}"
00120000000000009872_0,8344,7660,6744,7270,7538,7576,8344,-2904,32767,1060,9,11368,10560,10096,10422,9917,9636,9832,444,-32768,-132,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.812116735071264,50.755090294550925]}"
001200000000000098c2_0,1034,1360,980,1660,4598,5766,6088,30303,32767,7226,4,6364,6112,5976,6507,6959,7119,7000,-5253,32767,789,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.87442946058684,50.74393793032676]}"
001200000000000098c5_0,1020,1158,871,1584,4505,5561,5656,32767,32767,7331,4,5768,5440,5156,5478,5899,6052,6120,-3885,32767,854,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.876688529744333,50.74347131299011]}"
001200000000000098d7_0,665,855,617,1157,3443,4301,4544,30119,32767,7608,4,10336,9808,9592,9993,9656,9302,9408,435,-32768,-96,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.890813933952847,50.740936119553226]}"
001200000000000098dd_0,681,697,603,775,1461,1848,1834,32767,32767,5051,4,13568,12576,12224,13129,12555,12148,12336,-174,-32768,45,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.895476538739636,50.74018095711337]}"
001200000000000098ed_0,11592,10496,9560,10054,9330,9183,10896,-1787,-32768,653,9,9208,8472,8008,8826,8856,8905,8768,-1551,32767,453,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.907904770840467,50.737926501795485]}"
0012000000000000990c_0,4070,4356,4740,6028,7125,7527,6248,9053,32767,1372,8,706,846,637,956,1980,2341,2746,32767,32767,6234,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.932196229902278,50.73368791780557]}"
0012000000000000bfe5_0,6676,6112,5768,6227,6260,6171,6532,-2139,32767,621,9,1360,1438,1566,2018,2797,3134,2476,13598,32767,2251,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.291921062541302,50.838488046623134]}"
0012000000000000c03c_0,6012,5644,5284,5677,5789,5780,6112,-2846,32767,726,9,799,906,993,1122,1274,1353,1426,7773,32767,1789,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.359857198921242,50.82660769545801]}"
0012000000000000c0d7_0,6020,5656,5316,5765,5822,5830,6044,-2524,32767,640,9,550,807,842,1260,2042,2365,2646,12618,32767,5172,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.482595794635245,50.80530121254096]}"
0012000000000000c126_0,5348,5028,4740,5186,5407,5438,5724,-4137,32767,940,9,6964,6380,6004,6356,6117,5932,5936,165,-32768,-56,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.54590602836268,50.794320611053465]}"
0012000000000000c159_0,5812,5472,5132,5540,5749,5702,6000,-3192,32767,779,9,5484,4992,4828,5247,5493,5568,5680,-3286,32767,810,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.585689534757094,50.787382970273086]}"
0012000000000000c19f_0,4812,4532,4288,4702,5036,5154,5280,-4880,32767,1036,9,238,237,165,275,605,751,769,-32768,32767,6466,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.64046123129926,50.777832373482475]}"
0012000000000000c1b3_0,4848,4652,4320,4877,5449,5517,5708,-7334,32767,1384,9,780,1494,814,2269,5547,6037,6124,25731,32767,7653,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.655881314341068,50.77495886701067]}"
0012000000000000c1ea_0,4236,4026,3808,4191,4581,4698,4860,-6476,32767,1213,9,3124,3100,3030,3423,3904,4139,4024,-20285,32767,1409,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.700440714235695,50.767145681799335]}"
0012000000000000c200_0,4128,3902,3660,4011,4371,4513,4676,-5875,32767,1218,9,651,680,608,728,1306,1458,1544,32767,32767,4349,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.717552183814007,50.764073972180604]}"
0012000000000000c231_0,3378,3320,3076,3607,4579,4918,5088,-28100,32767,2464,9,10208,9504,9208,9750,9457,9208,9224,-33,0,8,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.75471064015332,50.75574571482501]}"
0012000000000000c269_0,4016,4052,3842,4378,5049,5246,5532,-27524,32767,1802,9,14720,13288,12440,12362,11415,10815,12968,-579,-32768,207,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.795338096761409,50.74378474278748]}"
0012000000000000c2a9_0,2702,3274,3486,3919,4744,5246,4816,6080,32767,1602,8,7436,6940,6592,6716,6692,6627,6828,-628,32767,175,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.847099648084653,50.73748477460362]}"
0012000000000000c2c3_0,583,600,482,605,1272,1551,1476,-32768,32767,5076,3,9432,8840,8496,8941,9009,8974,9328,-1993,32767,466,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.86729763181237,50.733828978974046]}"
0012000000000000c2e1_0,1406,1824,2264,2532,2752,2921,3020,3118,32767,1430,5,883,1016,1060,1159,1279,1404,1362,6860,32767,1246,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.890600743885727,50.72969634138252]}"
0012000000000000c2e6_0,1234,1472,1366,2046,3746,4202,4244,22583,32767,5130,5,1894,2088,2028,2145,2937,3149,3482,25138,32767,2638,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.894553885589948,50.728946628504595]}"
0012000000000000c2fb_0,3628,3648,3178,3168,4804,5511,6236,-32768,32767,3248,8,414,579,336,968,4050,5018,5036,29761,32767,8749,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.910935305700443,50.72612185239909]}"
0012000000000000c2fc_0,2608,2556,2568,2901,4457,5091,5488,32767,32767,3624,7,428,578,380,922,3246,4208,4388,28967,32767,8406,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.911640122928885,50.72593648064904]}"
0012000000000000c2ff_0,623,751,515,1102,3640,4656,4936,32767,32767,8110,4,422,572,403,977,3442,4528,4720,27157,32767,8426,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.91462375334354,50.72636277130409]}"
0012000000000000e0cb_0,7788,7164,6728,7213,7106,6923,7284,-1292,32767,396,9,2214,2272,2074,2344,3905,4380,4860,32767,32767,4017,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.276537344739321,50.854802408476374]}"
0012000000000000e103_0,6704,6212,6020,6510,6442,6308,6532,-1678,32767,407,9,1432,1820,2220,2616,3175,3507,3320,4660,32767,1985,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.320384854409857,50.84722628976164]}"
0012000000000000e1c5_0,6000,5576,5312,5789,5843,5821,6000,-2413,32767,608,9,8648,7528,6856,7040,6821,6659,7840,-1548,-32768,669,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.473666990550539,50.82053572381014]}"
0012000000000000e1dc_0,5952,5592,5260,5694,5765,5727,5976,-2520,32767,637,9,310,436,374,726,1348,1579,1384,19363,32767,5745,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.493081380358387,50.81721787098396]}"
0012000000000000e217_0,5868,5504,5288,5682,5799,5760,6036,-2994,32767,660,9,423,439,407,542,990,1212,1372,32767,32767,5424,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.539266585592637,50.809189755121075]}"
0012000000000000e21e_0,5800,5392,5092,5502,5642,5654,5960,-3105,32767,785,9,420,430,381,546,1050,1209,1224,32767,32767,5252,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.544791166928281,50.808264801300446]}"
0012000000000000e236_0,5548,5160,4904,5321,5514,5548,5824,-3615,32767,857,9,2452,2990,3366,4081,4479,4623,3694,1490,32767,464,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.563485786591079,50.80493856968208]}"
0012000000000000e29c_0,5436,5092,4756,5236,5569,5625,5812,-4111,32767,999,9,457,624,707,1167,2721,3225,3016,15065,32767,6201,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.643195448726347,50.79103696091601]}"
0012000000000000e2c9_0,5052,4740,4484,4987,5371,5431,5592,-5136,32767,1099,9,1064,1486,1416,2121,3715,4062,3876,13999,32767,4648,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.678290976498957,50.784812895497204]}"
0012000000000000e2d6_0,4572,4308,4028,4460,4912,5068,5308,-6648,32767,1371,9,531,544,461,646,1349,1569,1810,32767,32767,5940,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.688335671987002,50.78295546184082]}"
0012000000000000e315_0,3924,3858,3784,4180,4474,4532,4508,-8164,32767,873,9,1560,1612,1494,1553,1702,1731,2148,-27853,32767,1795,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.737564305644396,50.774291090238904]}"
0012000000000000e336_0,6856,6588,6368,6852,7168,7252,7276,-3824,32767,665,9,10856,10256,9920,10292,9837,9697,9960,-83,-32768,20,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.764857839482126,50.76943893867119]}"
0012000000000000e349_0,3790,3858,3758,4212,4531,4604,4572,-15605,32767,977,9,10736,9992,9584,10030,9618,9370,10088,-974,-32768,256,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.779704687319091,50.7668225843784]}"
0012000000000000e3a9_0,4080,4100,4060,4501,5127,5361,5576,-32768,32767,1573,9,9904,9280,8904,9018,8981,8885,8944,-83,-32768,22,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.854475836464626,50.75343866102035]}"
0012000000000000e3ac_0,3076,2854,2420,2452,3533,3966,4796,-15827,32767,3292,8,9168,8864,8832,9012,9012,8965,8800,114,32767,-18,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.856735564851268,50.7529724277828]}"
0012000000000000e3da_0,1196,1354,1036,1784,4058,5033,5732,32767,32767,6938,7,8904,8128,7760,8649,8458,8422,8148,-803,32767,243,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.89417594563141,50.746306255929085]}"
0012000000000000e3db_0,1036,1316,1190,1791,3916,4738,5180,21918,32767,6263,4,9568,8824,8928,9430,9176,9045,8280,1634,32767,-376,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.895022854762976,50.74611989656421]}"
0012000000000000e3ed_0,4992,4556,4316,4447,4863,4988,5180,-3394,32767,909,9,9632,9032,8640,8835,8660,8581,8768,-275,-32768,73,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.909006320694047,50.74358358913966]}"
0012000000000000e3f0_0,4008,3624,4272,4947,5337,5259,4632,32767,32767,404,11,14232,13264,12848,13320,12897,12605,13360,-785,-32768,195,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.911266765746182,50.7432062214131]}"
0012000000000000e3ff_0,8600,8848,9864,10455,10127,9789,8296,-13149,-32768,-863,9,966,1048,910,1306,1777,1889,2308,32767,32767,4344,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.922990022965523,50.741135529135306]}"
00120000000000010ab9_0,6896,6528,6300,6853,6775,6699,6820,-1831,32767,396,9,3654,3696,3704,4222,4944,5165,5464,32767,32767,1919,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.256844131500921,50.838840302722595]}"
00120000000000010aba_0,7240,6800,6444,6993,6951,6766,7084,-1871,32767,473,9,754,1062,1416,1654,2057,2130,2094,3433,32767,1931,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.254261890147733,50.834079788605855]}"
00120000000000010bdd_0,5860,5468,5204,5647,5756,5737,5956,-2777,32767,673,9,7168,6940,7028,7162,7228,7335,7276,-1436,32767,173,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.486644966494113,50.798899454067424]}"
00120000000000010be7_0,5912,5536,5180,5637,5762,5748,6004,-2839,32767,736,9,400,507,503,815,1420,1638,1796,17809,32767,5624,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.494434907767896,50.797517767250774]}"
00120000000000010c3f_0,5192,4932,4628,5082,5408,5413,5684,-4811,32767,1024,9,10136,9336,8712,9195,8827,8415,9128,-711,-32768,233,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.563253357562123,50.78560494792908]}"
00120000000000010c40_0,5240,4876,4652,5054,5408,5450,5656,-4379,32767,974,9,10184,9408,9096,9454,9145,8857,9128,-63,-32768,17,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.563960455020382,50.78542167314661]}"
00120000000000010c53_0,5132,4784,4604,4972,5174,5187,5400,-3641,32767,795,9,2248,2510,3350,3688,4377,4745,3394,165,32767,65,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.578823760322447,50.782830848485304]}"
00120000000000010c88_0,4848,4596,4296,4662,5100,5192,5512,-5994,32767,1239,9,206,277,199,398,1133,1375,1392,28622,32767,7498,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.620146648704273,50.77542412080272]}"
00120000000000010c8d_0,5392,5080,4884,5281,5629,5744,5848,-4558,32767,898,9,271,315,236,375,1066,1293,1302,32767,32767,6931,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.624110425217767,50.7748634019624]}"
00120000000000010cb0_0,4772,4644,4296,4822,5338,5432,5584,-7270,32767,1303,9,1024,1708,944,2589,5730,6066,6364,31156,32767,7416,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.651416267253106,50.77003775634315]}"
00120000000000010cbf_0,4532,4328,4112,4510,4981,5160,5324,-7588,32767,1284,9,626,655,597,782,1482,1879,1828,32767,32767,5076,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.663157910130534,50.76799313280674]}"
00120000000000010d62_0,3220,3278,3118,3735,4536,4818,4988,-32768,32767,2306,9,11048,10120,9488,9591,8772,8199,9712,-345,-32768,116,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.790263452922732,50.74543799519445]}"
00120000000000010d9d_0,8060,8184,8840,10358,10889,11053,9152,4475,32767,173,9,8092,8116,7464,7175,6860,6725,7480,-47,-32768,10,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.839288556713127,50.736552017051444]}"
00120000000000010dde_0,1094,1224,918,1516,3903,4891,5532,32767,32767,7153,4,2408,2164,1588,2049,2807,3112,3772,-11472,32767,4074,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.889851494157083,50.72754370948787]}"
001200000000000134f1_0,7316,6776,6444,6941,6825,6618,7096,-1789,32767,481,9,7652,7528,7492,8120,8146,8045,8400,-5622,32767,571,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.289499413874003,50.860256550440646]}"
0012000000000001351f_0,6376,6032,5688,6144,6135,6101,6324,-2158,32767,529,9,1000,1274,1412,1832,2661,3020,2930,9723,32767,3496,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.325975319480584,50.854494944821994]}"
0012000000000001359a_0,5132,4916,4676,5154,5330,5341,5484,-4081,32767,795,9,719,915,873,1373,2432,2746,3022,18729,32767,5517,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.42200448334545,50.83773042719127]}"
0012000000000001359c_0,5196,4952,4688,5157,5335,5403,5512,-3865,32767,807,9,575,767,558,1087,2755,3282,4062,28271,32767,7584,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.42356418634981,50.83745499245876]}"
001200000000000135c7_0,6088,5644,5416,5831,5879,5864,6124,-2514,32767,613,9,412,605,629,870,1431,1520,1858,12082,32767,4941,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.45472465796611,50.828884484548844]}"
001200000000000135ce_0,5956,5504,5244,5642,5753,5722,6020,-2700,32767,688,9,547,680,706,977,1533,1775,1754,13873,32767,4260,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.462119452847764,50.83002450049333]}"
001200000000000135d2_0,5956,5592,5280,5681,5760,5729,6000,-2575,32767,638,9,3770,3818,3786,4092,4585,4719,5000,-32768,32767,1381,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.465237847906254,50.82947253982189]}"
00120000000000013601_0,5728,5168,4896,5287,5405,5418,5752,-2732,32767,803,9,280,296,259,375,771,887,920,32767,32767,5606,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.502662463778192,50.82374176700292]}"
00120000000000013608_0,5716,5292,4952,5306,5444,5410,5824,-2972,32767,809,9,780,684,634,972,1243,1380,1488,-32768,32767,4024,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.508046553435117,50.8227292357216]}"
00120000000000013620_0,5976,5516,5176,5619,5711,5703,5972,-2554,32767,714,9,8656,8256,8036,8177,8118,8024,8704,-2087,-32768,399,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.527601326897246,50.819405026664896]}"
00120000000000013665_0,5548,5140,4764,5205,5455,5503,5892,-3953,32767,1058,9,248,254,226,313,737,934,978,32767,32767,6245,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.576381940608144,50.803436707142446]}"
00120000000000013674_0,5992,5548,5124,5678,5856,5857,6164,-3237,32767,921,9,638,1036,650,1530,4671,5475,6000,26143,32767,8045,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.591299053206539,50.80471099100926]}"
001200000000000136a2_0,6148,5812,5436,5882,6057,6062,6372,-3286,32767,792,9,453,861,580,1402,3785,4416,4516,21393,32767,7723,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.629136718128427,50.800646129470934]}"
001200000000000136b6_0,5776,5380,5036,5475,5771,5789,6044,-3569,32767,909,9,187,358,215,605,2266,2681,2900,24072,32767,8619,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.644850014671785,50.797862455115705]}"
001200000000000136e7_0,5140,4832,4600,5064,5361,5399,5560,-4453,32767,944,9,4628,4448,4172,3658,4318,4354,5840,-10867,32767,1666,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.678884408490633,50.78660803491798]}"
001200000000000136f6_0,4540,4280,4034,4477,4962,5142,5264,-6712,32767,1322,9,644,659,563,730,1313,1588,1782,32767,32767,5198,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.69048579877631,50.78447155820866]}"
