system:index,20201230T103441_20201230T103436_T32UNC_B2,20201230T103441_20201230T103436_T32UNC_B3,20201230T103441_20201230T103436_T32UNC_B4,20201230T103441_20201230T103436_T32UNC_B5,20201230T103441_20201230T103436_T32UNC_B6,20201230T103441_20201230T103436_T32UNC_B7,20201230T103441_20201230T103436_T32UNC_B8,20201230T103441_20201230T103436_T32UNC_EVI,20201230T103441_20201230T103436_T32UNC_IRECI,20201230T103441_20201230T103436_T32UNC_NDVI,20201230T103441_20201230T103436_T32UNC_SCL,pai,.geo
000000000000000121a0_0,496,405,340,593,1309,1528,1422,-32768,32767,6140,4,3.891005039215088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.031302810647365,51.45401044461164]}"
000000000000000122ff_0,7160,6644,6700,7380,7541,7433,8264,-7468,32767,1045,9,2.4541919231414795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.319158731578867,51.476599300200554]}"
00000000000000017c81_0,359,436,275,626,1550,1784,1884,32767,32767,7452,4,2.5933220386505127,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.264528646771566,51.46675435818991]}"
0000000000000001bd86_0,699,746,935,1290,1569,1696,1870,10442,32767,3333,7,3.733473062515259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.044676223372813,51.442496597210734]}"
0000000000000001bda5_0,442,647,464,1148,2561,2889,3818,25501,32767,7832,4,3.6261229515075684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.06985919826487,51.44455241444528]}"
0000000000000001ffc0_0,658,757,708,1135,1976,2083,2344,24668,32767,5360,7,3.994925022125244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.058627398640311,51.43808445877658]}"
0000000000000001ffff_0,534,598,521,958,1959,2142,2266,31430,32767,6261,4,3.3276779651641846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.109855074020105,51.442093970666534]}"
000000000000000200d5_0,2198,2254,2456,2919,3490,3672,3838,16531,32767,2195,8,1.0882890224456787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.283895087787847,51.45573906158067]}"
0000000000000002012e_0,1368,1266,1346,1688,1807,1884,2204,32767,32767,2416,10,3.0672359466552734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.356333588982832,51.46129607242176]}"
0000000000000000e1b5_0,9320,8112,8680,9467,9462,9114,9336,-1933,32767,364,9,0.23018600046634674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.45511934887665,51.49422402387565]}"
00000000000000012186_0,1062,1154,1058,1583,2455,2616,2722,32767,32767,4402,7,2.808558940887451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.01014603035978,51.45221582394978]}"
0000000000000001218a_0,916,819,855,1253,1472,1530,1616,-32768,32767,3079,7,1.2837029695510864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.013456162033428,51.45248524484036]}"
000000000000000122d2_0,1084,1198,1192,1544,2115,2249,2492,21452,32767,3528,7,1.2977240085601807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.28256744180978,51.47381579957739]}"
00000000000000017b4c_0,854,839,777,1378,2340,2452,2502,32767,32767,5260,7,0.7209749817848206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.011727693602177,51.44673067488243]}"
00000000000000017b7b_0,653,867,850,1571,2602,2882,2998,16773,32767,5582,4,2.5635271072387695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.049864005375953,51.44977787306992]}"
00000000000000017c6f_0,305,276,292,449,872,951,887,32767,32767,5046,3,1.896744966506958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.249981843350056,51.46552741849617]}"
00000000000000017c9a_0,1632,1350,1468,1803,2148,2297,2696,-32768,32767,2949,8,0.04123799875378609,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.284836988561517,51.46832531289165]}"
00000000000000017d1e_0,5504,4828,4508,4682,4799,4687,6372,-5929,32767,1713,9,1.149744987487793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.393892066969984,51.476731778102675]}"
0000000000000001fff0_0,307,292,278,582,1192,1386,1504,32767,32767,6879,4,1.7378350496292114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.097623077328619,51.44120561162554]}"
0000000000000001fff9_0,365,351,292,552,870,937,1140,32767,32767,5921,7,0.08810999989509583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.104962218610686,51.441738780238296]}"
000000000000000200ee_0,3034,3108,3128,3689,4300,4355,5160,32767,32767,2451,9,0.6380950212478638,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.304199189709655,51.45730667244894]}"
