system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,.geo
0012000000000001373b_4,3792,3518,3334,3713,4127,4247,4376,-6417,32767,1351,9,5480,4860,4520,5033,5065,5142,5736,-3687,32767,1185,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.745823776523038,50.776396888978304]}"
0012000000000001373b_5,3804,3554,3270,3673,4064,4159,4384,-6154,32767,1455,9,4792,4376,3858,4013,4153,4181,5204,-4435,32767,1485,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.745538708428386,50.7763087814362]}"
0012000000000001373b_6,3776,3552,3296,3673,4064,4159,4416,-6784,32767,1452,9,4884,4508,4164,4013,4153,4181,5272,-4346,32767,1174,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.745680527379363,50.77630787487335]}"
0012000000000001373e_0,3680,3494,3316,3673,4163,4257,4424,-8447,32767,1431,9,6820,6452,6036,6313,6225,6167,7036,-3165,32767,764,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.747946761064378,50.776113504821865]}"
0012000000000001373e_1,3702,3494,3310,3673,4163,4257,4468,-8425,32767,1488,9,6596,6136,5868,6313,6225,6167,6908,-3535,32767,814,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.7478035087899,50.7760244933335]}"
0012000000000001373e_2,3670,3508,3352,3673,4163,4257,4404,-8743,32767,1356,9,6676,6236,5868,6313,6225,6167,6960,-3455,32767,851,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.747945326807995,50.77602358402075]}"
0012000000000001373e_3,3640,3538,3306,3664,4149,4299,4372,-8621,32767,1388,9,7012,6400,6092,6602,6589,6482,7076,-2745,32767,747,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.748087144818752,50.77602267453559]}"
0012000000000001373e_4,3676,3518,3296,3670,4160,4272,4460,-8730,32767,1500,9,6468,5856,5572,6022,6013,5880,6708,-3393,32767,925,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.747802074812743,50.775934572528065]}"
0012000000000001373e_5,3662,3528,3322,3670,4160,4272,4396,-8561,32767,1391,9,6420,5992,5816,6022,6013,5880,6720,-3459,32767,721,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.747943892558952,50.77593366321821]}"
0012000000000001373e_6,3620,3504,3310,3682,4129,4275,4372,-9101,32767,1382,9,6724,6256,6016,6600,6594,6531,6884,-2913,32767,672,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.748085710297824,50.775932753735944]}"
00120000000000013743_0,3460,3382,3206,3598,4162,4304,4344,-12009,32767,1507,9,10008,9288,8992,9389,9089,8809,9568,-1247,-32768,310,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.75176431954352,50.77536952230646]}"
00120000000000013743_1,3482,3382,3184,3598,4162,4304,4400,-11647,32767,1603,9,9920,9344,8976,9389,9089,8809,9448,-1063,-32768,256,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.751906135452467,50.77536860818662]}"
00120000000000013743_2,3496,3384,3238,3700,4323,4554,4420,-12463,32767,1543,9,9864,9360,8944,9237,8908,8650,9464,-1198,-32768,282,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.752047951354038,50.77536769389436]}"
00120000000000013743_3,3522,3372,3178,3598,4162,4304,4416,-10563,32767,1630,9,9880,9208,8928,9389,9089,8809,9488,-1267,-32768,304,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.751762878005186,50.77527960157232]}"
00120000000000013743_4,3508,3360,3184,3598,4162,4304,4476,-11835,32767,1686,9,9848,9176,8888,9389,9089,8809,9440,-1244,-32768,301,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.75190469364226,50.775278687455376]}"
00120000000000013743_5,3508,3394,3218,3700,4323,4554,4484,-12574,32767,1643,9,9840,9152,8832,9237,8908,8650,9488,-1448,-32768,358,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.752046509271956,50.77527777316604]}"
00120000000000013743_6,3494,3344,3160,3568,4225,4447,4504,-12262,32767,1753,9,9808,9056,8776,8955,8569,8218,9320,-1174,-32768,300,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.75176143647423,50.775189680836746]}"
00120000000000013743_7,3476,3348,3222,3568,4225,4447,4476,-13865,32767,1628,9,9880,9000,8736,8955,8569,8218,9368,-1282,-32768,349,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.751903251839428,50.77518876672272]}"
0012000000000001375e_0,5516,5328,4964,5365,5737,5804,6168,-5556,32767,1081,9,9416,8744,8416,8800,8518,8280,8488,-154,-32768,42,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.774713145780307,50.77369054202709]}"
0012000000000001375e_1,5468,5252,4972,5365,5737,5804,6144,-5821,32767,1054,9,9368,8640,8400,8800,8518,8280,8432,-70,-32768,19,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.774854955854611,50.77368960002882]}"
0012000000000001375e_2,5420,5176,4908,5259,5684,5770,6064,-5625,32767,1053,9,9264,8584,8416,8742,8462,8247,8392,56,-32768,-14,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.774996765921314,50.77368865785815]}"
0012000000000001375e_3,5424,5260,4996,5398,5775,5887,6104,-6023,32767,998,9,9416,8768,8464,8884,8555,8367,8576,-248,-32768,65,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.774711660328027,50.773600621747235]}"
