system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,.geo
001200000000000041e7_0,6292,5856,5572,6066,6033,6053,6304,-2455,32767,616,9,539,802,756,1172,2485,2982,2940,15897,32767,5909,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358400667427288,50.858896255705794]}"
001200000000000041e7_1,6320,5864,5560,6066,6033,6053,6336,-2518,32767,652,9,564,845,843,1172,2485,2982,2658,13012,32767,5184,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358542745988826,50.85889581933593]}"
001200000000000041e7_2,6320,5864,5560,6038,6058,6039,6268,-2277,32767,598,9,529,802,662,1096,2605,3186,3344,20017,32767,6694,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358257899826995,50.858806766473975]}"
001200000000000041e7_3,6344,5892,5572,6066,6033,6053,6288,-2277,32767,603,9,561,774,606,1172,2485,2982,3326,24677,32767,6917,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358399978118822,50.858806330278455]}"
001200000000000041e7_4,6348,5916,5568,6066,6033,6053,6324,-2399,32767,635,9,559,770,677,1172,2485,2982,3238,20596,32767,6541,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358542056407117,50.85880589390999]}"
001200000000000041e7_5,6352,5884,5572,6037,6100,6066,6284,-2246,32767,600,9,570,806,610,1061,2631,3287,3286,25037,32767,6868,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.358399288813887,50.858716404849716]}"
001200000000000041e7_6,6352,5892,5552,6037,6100,6066,6288,-2288,32767,621,9,545,749,654,1061,2631,3287,3328,21118,32767,6715,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.35854136682894,50.858715968482635]}"
0012000000000000974a_0,5332,4936,4676,5056,5267,5304,5620,-3738,32767,916,9,775,1062,1186,1481,2189,2534,2458,8451,32767,3490,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.581259390769818,50.79621818602087]}"
0012000000000000974a_1,5308,4904,4628,5056,5267,5304,5556,-3577,32767,911,9,845,1072,1076,1481,2189,2534,2752,14591,32767,4378,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.58140127468121,50.79621747899414]}"
0012000000000000974a_2,5368,4908,4616,5065,5258,5319,5604,-3549,32767,966,9,624,961,1086,1545,2671,3089,2718,8957,32767,4290,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.58125827534177,50.79612826249351]}"
0012000000000000974a_3,5288,4896,4616,5065,5258,5319,5556,-3667,32767,924,9,694,1080,1094,1545,2671,3089,3278,11772,32767,4995,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.581400158980928,50.79612755546901]}"
0012000000000000974a_4,5288,4936,4648,5047,5261,5298,5548,-3615,32767,882,9,874,1094,1150,1738,2913,3358,3360,14908,32767,4900,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.581542042614375,50.796126848271975]}"
0012000000000000974a_5,5288,4904,4636,5065,5258,5319,5572,-3731,32767,916,9,589,932,1064,1545,2671,3089,3472,11067,32767,5308,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.581257159919431,50.79603833896472]}"
0012000000000000974a_6,5316,4908,4628,5065,5258,5319,5572,-3614,32767,925,9,672,1136,1206,1545,2671,3089,3746,10684,32767,5129,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.581399043286355,50.796037631942475]}"
0012000000000000c004_0,6684,6168,5888,6329,6359,6233,6640,-2303,32767,600,9,365,466,393,732,1794,2107,2258,24807,32767,7035,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.315894054986682,50.83428893649895]}"
0012000000000000c004_1,6700,6180,5856,6329,6359,6233,6616,-2236,32767,609,9,373,503,409,732,1794,2107,2116,24062,32767,6760,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.316036059447564,50.83428855200499]}"
0012000000000000c004_2,6668,6232,5832,6356,6368,6289,6616,-2333,32767,629,9,353,496,404,739,1761,2142,2216,22723,32767,6916,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.316178063905335,50.83428816733824]}"
0012000000000000c004_3,6668,6156,5924,6321,6328,6284,6612,-2190,32767,548,9,417,495,390,698,1712,1993,2194,32042,32767,6981,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.315893447961717,50.83419901029732]}"
0012000000000000c004_4,6684,6148,5888,6321,6328,6284,6568,-2064,32767,545,9,423,494,404,698,1712,1993,2212,30863,32767,6911,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.316035452149732,50.83419862580458]}"
0012000000000000c004_5,6712,6188,5884,6352,6331,6268,6616,-2173,32767,585,9,356,467,364,662,1732,2054,2268,26696,32767,7234,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.316177456334637,50.83419824113905]}"
0012000000000000c0f0_0,5928,5512,5284,5677,5815,5762,6036,-2798,32767,664,9,3064,2990,2702,2412,3114,3379,3956,-11152,32767,1883,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.503704139636163,50.801794696671635]}"
0012000000000000c0f0_1,5944,5568,5248,5733,5822,5789,6036,-2792,32767,698,9,2698,2692,2712,2998,3582,3861,3776,-32768,32767,1639,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.503561270487696,50.801705384655435]}"
0012000000000000c0f0_2,5948,5556,5312,5733,5822,5789,6036,-2701,32767,637,9,2796,2938,2854,2998,3582,3861,3938,32767,32767,1595,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.503703172839575,50.80170477207697]}"
0012000000000000c0f0_3,5992,5572,5312,5766,5881,5845,6040,-2590,32767,641,9,3204,3284,3222,3749,4230,4307,4140,-32768,32767,1246,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.503845075186506,50.80170415932591]}"
0012000000000000c0f0_4,5992,5556,5312,5733,5822,5789,6020,-2511,32767,624,9,2400,2358,2480,2998,3582,3861,3522,32767,32767,1736,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.503560303968392,50.80161546005741]}"
0012000000000000c0f0_5,5992,5600,5340,5733,5822,5789,6024,-2487,32767,601,9,2376,2590,2658,2998,3582,3861,3642,13890,32767,1561,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.503702206047937,50.8016148474809]}"
0012000000000000c0f0_6,6012,5600,5384,5766,5881,5845,6040,-2431,32767,574,9,2674,3012,3190,3749,4230,4307,3950,6258,32767,1064,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.503844108122532,50.80161423473179]}"
0012000000000000c0f3_0,6188,5744,5540,5942,6034,6011,6200,-2367,32767,562,9,3372,3222,3060,3209,3597,3738,3726,-5198,32767,981,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.505969725229539,50.80133524908171]}"
0012000000000000c0f3_1,6180,5832,5516,5916,6053,6022,6188,-2377,32767,574,9,3554,3400,3278,3541,3906,3996,3852,-4578,32767,805,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.506111626407773,50.80133463357707]}"
0012000000000000c0f3_2,6188,5804,5540,5942,6034,6011,6220,-2446,32767,578,9,3144,3008,2880,3209,3597,3738,3604,-6716,32767,1116,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.505968754100431,50.801245324511285]}"
0012000000000000c0f3_3,6188,5824,5516,5916,6053,6022,6236,-2543,32767,612,9,3298,3210,3104,3541,3906,3996,3726,-6522,32767,910,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.506110655006339,50.8012447090086]}"
0012000000000000c0f3_4,6208,5816,5484,5916,6053,6022,6240,-2548,32767,644,9,3584,3436,3332,3541,3906,3996,3924,-4994,32767,815,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.50625255590727,50.80124409333333]}"
0012000000000000c0f3_5,6236,5836,5540,5974,6054,6011,6220,-2325,32767,578,9,3178,2876,2718,3040,3446,3628,3626,-5820,32767,1431,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.505967782976295,50.801155399939454]}"
0012000000000000c0f3_6,6216,5820,5488,5957,6058,6033,6236,-2508,32767,638,9,3472,3106,2946,3382,3777,3920,3784,-4575,32767,1245,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.506109683609873,50.80115478443873]}"
0012000000000000e273_0,5624,5272,4980,5445,5687,5657,6012,-4103,32767,938,9,464,890,432,1445,4641,5244,5708,27359,32767,8592,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.611064265721629,50.796785308124356]}"
0012000000000000e273_1,5704,5308,4972,5445,5687,5657,5988,-3649,32767,927,9,472,908,434,1445,4641,5244,5816,27566,32767,8611,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.611206150581173,50.79678456484368]}"
0012000000000000e273_2,5672,5316,4992,5458,5711,5680,5960,-3651,32767,883,9,467,898,439,1465,4622,5345,5572,27277,32767,8539,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.611348035434718,50.796783821390456]}"
0012000000000000e273_3,5604,5280,4992,5412,5660,5656,5944,-3880,32767,870,9,466,894,436,1426,4430,5092,5552,27364,32767,8543,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.611063093076924,50.79669538509304]}"
0012000000000000e273_4,5572,5284,4964,5412,5660,5656,5980,-4215,32767,928,9,477,880,455,1426,4430,5092,5464,27119,32767,8462,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.611204977664231,50.79669464181473]}"
0012000000000000e273_5,5596,5316,4984,5432,5652,5665,5960,-3996,32767,891,9,459,875,446,1403,4314,4978,5184,26807,32767,8415,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.611346862245535,50.79669389836386]}"
0012000000000000e273_6,5624,5252,4940,5412,5660,5656,5968,-3911,32767,942,9,471,868,459,1426,4430,5092,5172,26811,32767,8369,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.61106192043822,50.79660546206031]}"
0012000000000000e273_7,5624,5264,4956,5412,5660,5656,5960,-3871,32767,919,9,485,872,496,1426,4430,5092,5072,25932,32767,8218,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.61120380475329,50.79660471878436]}"
0012000000000000e273_8,5644,5272,4972,5432,5652,5665,5960,-3778,32767,903,9,464,863,488,1403,4314,4978,5112,25345,32767,8257,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.61134568906236,50.79660397533587]}"
00120000000000010c28_0,5444,5080,4824,5241,5416,5384,5708,-3577,32767,839,9,4086,3720,3498,3636,3777,3852,3816,-1361,32767,434,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.545274689884861,50.788837891991136]}"
00120000000000010c28_1,5448,5104,4844,5273,5394,5407,5672,-3380,32767,787,9,4104,3750,3516,3669,3817,3851,3848,-1422,32767,450,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.545416552332442,50.788837228797284]}"
00120000000000010c28_2,5404,5092,4856,5231,5394,5408,5680,-3605,32767,782,9,4072,3682,3458,3605,3739,3804,3746,-1191,32767,399,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.545131781602658,50.78874863081277]}"
00120000000000010c28_3,5404,5072,4820,5231,5394,5408,5672,-3587,32767,812,9,4074,3710,3472,3605,3739,3804,3770,-1251,32767,411,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.545273643783464,50.78874796779353]}"
00120000000000010c28_4,5448,5068,4844,5261,5399,5416,5688,-3455,32767,801,9,4108,3758,3514,3670,3804,3810,3784,-1136,32767,369,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.545415505958916,50.78874730460179]}"
00120000000000010c28_5,5444,5092,4824,5231,5394,5408,5604,-3104,32767,747,9,4064,3670,3452,3605,3739,3804,3726,-1133,32767,381,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.545272597687418,50.78865804359452]}"
00120000000000010c28_6,5480,5072,4860,5261,5399,5416,5672,-3239,32767,770,9,4020,3720,3514,3670,3804,3810,3718,-953,32767,282,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.545414459590745,50.7886573804049]}"
0012000000000000176e_0,7164,6616,6188,6734,6622,6491,6920,-1890,32767,558,8,1968,2312,2746,3418,3995,4236,3558,3848,32767,1288,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.282359602054397,50.877899782469115]}"
0012000000000000176e_1,7192,6616,6188,6734,6622,6491,7000,-2069,32767,615,8,3018,3474,3256,3418,3995,4236,4616,22397,32767,1727,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.28250173944945,50.87789943857197]}"
0012000000000000176e_2,7168,6584,6188,6699,6614,6509,6896,-1818,32767,541,8,2664,2864,3250,3921,4538,4751,4056,5633,32767,1103,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.28235905862616,50.87780985666812]}"
0012000000000000176e_3,7192,6568,6188,6699,6614,6509,6940,-1904,32767,572,8,3830,3426,3388,3921,4538,4751,4768,-9509,32767,1692,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.282501195747663,50.877809512772075]}"
0012000000000000176e_4,7228,6612,6200,6686,6619,6508,6960,-1890,32767,577,8,4288,3696,3476,4471,5016,5313,5044,-6262,32767,1840,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.28264333286638,50.87780916870297]}"
0012000000000000176e_5,7160,6588,6188,6699,6614,6509,6896,-1829,32767,541,8,3002,3332,3570,3921,4538,4751,4396,6253,32767,1036,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.282358515200709,50.877719930865744]}"
0012000000000000176e_6,7212,6584,6188,6699,6614,6509,6920,-1822,32767,558,8,3466,3408,3728,3921,4538,4751,4588,22349,32767,1034,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.282500652048665,50.8777195869708]}"
0012000000000000176e_7,7196,6636,6192,6686,6619,6508,6948,-1915,32767,575,8,3554,3592,3964,4471,5016,5313,4748,10436,32767,899,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.282642788893837,50.877719242902785]}"
001200000000000017bd_0,6420,5888,5576,6066,6050,5959,6312,-2195,32767,619,9,1134,1288,1246,1637,2458,2734,2920,22119,32767,4018,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.344110282609105,50.86703273331189]}"
001200000000000017bd_1,6412,5912,5552,6050,6055,6000,6304,-2218,32767,634,9,1108,1156,1144,1340,2001,2216,2656,31213,32767,3978,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.34425238611821,50.86703231428974]}"
001200000000000017bd_2,6420,5944,5584,6066,6050,5959,6276,-2067,32767,583,9,1100,1266,1210,1637,2458,2734,2908,22120,32767,4123,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.344109620593166,50.86694280787295]}"
001200000000000017bd_3,6452,5924,5552,6050,6055,6000,6312,-2167,32767,640,9,984,1158,1038,1340,2001,2216,2788,26725,32767,4573,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.344251723828899,50.866942388852145]}"
001200000000000017bd_4,6452,5912,5584,6050,6055,6000,6292,-2059,32767,596,9,937,1028,1021,1340,2001,2216,2366,22944,32767,3971,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.344393827061237,50.866941969658335]}"
001200000000000017bd_5,6348,5900,5584,6036,6084,5985,6328,-2391,32767,624,9,1078,1234,1200,1699,2498,2795,3050,21352,32767,4352,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.344108958580618,50.86685288243263]}"
001200000000000017bd_6,6452,5928,5616,6078,6069,5998,6332,-2140,32767,599,9,995,1070,1098,1325,2119,2377,2934,22276,32767,4553,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.34425106154298,50.86685246341316]}"
001200000000000017e8_0,6068,5752,5468,5943,5994,5979,6192,-2780,32767,620,9,590,694,642,910,1312,1440,1454,23015,32767,3874,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.377742208298082,50.861173377317506]}"
001200000000000017e8_1,6108,5776,5464,5943,5994,5979,6156,-2518,32767,595,9,607,655,639,910,1312,1440,1376,27980,32767,3657,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.37788429347098,50.86117291738871]}"
001200000000000017e8_2,6092,5752,5460,5908,5997,5954,6144,-2520,32767,589,9,558,656,644,871,1238,1376,1314,16851,32767,3421,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.378026378640156,50.86117245728693]}"
001200000000000017e8_3,6088,5768,5484,5943,5994,5979,6156,-2545,32767,577,9,667,728,664,910,1312,1440,1602,32767,32767,4139,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.37774148173186,50.861083452120674]}"
001200000000000017e8_4,6120,5768,5504,5943,5994,5979,6144,-2377,32767,549,9,634,707,653,910,1312,1440,1440,32574,32767,3760,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.377883566631484,50.86108299219333]}"
001200000000000017e8_5,6100,5776,5460,5908,5997,5954,6156,-2546,32767,599,9,591,667,669,871,1238,1376,1344,18213,32767,3353,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.37802565152738,50.861082532093036]}"
001200000000000017e8_6,6168,5768,5488,5950,6039,5995,6156,-2327,32767,573,9,652,727,684,934,1251,1360,1480,28633,32767,3678,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.377882839795708,50.86099306699657]}"
0012000000000000181d_0,5424,5176,4908,5355,5485,5480,5700,-3579,32767,746,9,470,607,552,1080,2127,2577,2242,20812,32767,6048,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.419167224926083,50.853927670496894]}"
0012000000000000181d_1,5436,5228,4876,5355,5485,5480,5712,-3602,32767,789,9,530,711,692,1080,2127,2577,3106,18376,32767,6355,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.419309287367998,50.85392716019233]}"
0012000000000000181d_2,5420,5168,4904,5335,5457,5469,5700,-3601,32767,750,9,450,586,523,1049,1979,2320,2136,21223,32767,6066,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.419166418890375,50.85383774564042]}"
0012000000000000181d_3,5420,5208,4876,5335,5457,5469,5656,-3398,32767,740,9,563,750,719,1049,1979,2320,3018,18477,32767,6151,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.419308481059131,50.85383723533749]}"
0012000000000000181d_4,5436,5200,4884,5366,5482,5472,5648,-3283,32767,725,9,595,834,777,1214,2073,2211,2802,16860,32767,5658,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.419450543223757,50.853836724861644]}"
0012000000000000181d_5,5420,5152,4920,5335,5457,5469,5700,-3591,32767,734,9,425,556,502,1049,1979,2320,2430,21369,32767,6575,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.419165612858798,50.85374782078255]}"
0012000000000000181d_6,5424,5200,4916,5335,5457,5469,5708,-3616,32767,745,9,505,723,659,1049,1979,2320,2442,17081,32767,5749,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.419307674754396,50.853747310481246]}"
00120000000000001830_0,5712,5360,5052,5468,5575,5564,5788,-2730,32767,678,9,574,835,689,1032,2465,2828,3638,21258,32767,6815,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.434060388043138,50.85135525275963]}"
00120000000000001830_1,5700,5360,5080,5477,5541,5543,5792,-2748,32767,654,9,609,855,711,1449,3167,3926,3928,22170,32767,6934,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.434202442395815,50.851354724346265]}"
00120000000000001830_2,5700,5348,5020,5447,5601,5592,5796,-2839,32767,717,9,525,769,569,1057,2816,3440,3872,24652,32767,7437,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.43405955344564,50.85126532803755]}"
00120000000000001830_3,5672,5348,5052,5469,5565,5574,5820,-2996,32767,706,9,512,655,500,1333,3353,4198,4028,27657,32767,7791,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.434201607525202,50.851264799625866]}"
00120000000000001830_4,5684,5340,5064,5469,5565,5574,5752,-2649,32767,636,9,555,760,618,1333,3353,4198,4018,23846,32767,7333,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.434343661600485,50.85126427104128]}"
00120000000000001830_5,5668,5336,5024,5447,5601,5592,5792,-2921,32767,710,9,468,672,478,1057,2816,3440,4428,26076,32767,8051,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.43405871885242,50.85117540331405]}"
00120000000000001830_6,5684,5376,5040,5469,5565,5574,5780,-2799,32767,683,9,438,645,466,1333,3353,4198,4952,25123,32767,8279,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.434200772658864,50.85117487490405]}"
00120000000000001835_0,5724,5420,5108,5526,5640,5614,5844,-2858,32767,672,9,406,549,447,770,2143,2700,3086,24219,32767,7469,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.437889118407703,50.85062152746072]}"
00120000000000001835_1,5724,5396,5096,5526,5640,5614,5844,-2872,32767,683,9,493,655,446,770,2143,2700,4552,29066,32767,8215,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.438031170459515,50.8506209943927]}"
00120000000000001835_2,5716,5384,5116,5523,5612,5616,5840,-2858,32767,660,9,470,650,473,773,2519,2932,3962,26625,32767,7866,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.438173222507015,50.85062046115179]}"
00120000000000001835_3,5724,5404,5084,5522,5620,5611,5844,-2887,32767,695,9,383,486,415,923,2598,3552,2876,24664,32767,7477,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.437888276470574,50.85053160277303]}"
00120000000000001835_4,5716,5420,5096,5522,5620,5611,5876,-3038,32767,710,9,489,639,452,923,2598,3552,4796,28270,32767,8277,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.438030328249281,50.85053106970671]}"
00120000000000001835_5,5728,5384,5084,5530,5612,5618,5844,-2873,32767,695,9,480,625,458,1042,3295,4137,5024,27354,32767,8329,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.438172380023676,50.8505305364675]}"
00120000000000001835_6,5712,5384,5068,5522,5620,5611,5876,-3081,32767,738,9,434,585,416,923,2598,3552,3696,27910,32767,7976,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.438029486043362,50.850441145019325]}"
0012000000000000183e_0,6100,5684,5352,5765,5844,5788,6080,-2408,32767,636,9,781,1040,1326,1339,1948,2167,2204,5100,32767,2487,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.445832025792132,50.849332464984684]}"
0012000000000000183e_1,6104,5660,5316,5752,5820,5798,6080,-2447,32767,670,9,866,1114,1482,1704,1862,1977,2070,3290,32767,1655,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.44568912090664,50.84924308292447]}"
0012000000000000183e_2,6068,5640,5352,5763,5838,5823,6100,-2562,32767,653,9,854,1096,1432,1657,1930,2072,2010,3442,32767,1679,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.445831168622664,50.84924254037328]}"
0012000000000000183e_3,6092,5692,5352,5763,5838,5823,6120,-2574,32767,669,9,781,1042,1396,1657,1930,2072,2072,3680,32767,1949,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.445973216334298,50.84924199764921]}"
0012000000000000183e_4,6104,5656,5316,5752,5820,5798,6084,-2461,32767,673,9,887,1162,1534,1704,1862,1977,2114,3107,32767,1589,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.445688264014645,50.84915315830992]}"
0012000000000000183e_5,6088,5640,5348,5763,5838,5823,6100,-2516,32767,656,9,860,1146,1518,1657,1930,2072,2110,3103,32767,1631,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.445830311457588,50.84915261576046]}"
0012000000000000183e_6,6092,5644,5332,5763,5838,5823,6064,-2397,32767,642,9,822,1140,1518,1657,1930,2072,2106,2910,32767,1622,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.445972358896139,50.84915207303811]}"
00120000000000001842_0,5976,5604,5308,5719,5793,5770,6132,-3012,32767,720,9,824,1106,1470,1646,1735,1914,2032,3006,32767,1604,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.448951901441612,50.84878093762021]}"
00120000000000001842_1,5960,5612,5308,5719,5793,5770,6104,-2949,32767,697,9,837,1078,1488,1646,1735,1914,2014,2818,32767,1501,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.44909394769089,50.8487803911014]}"
00120000000000001842_2,6004,5612,5316,5740,5783,5745,6036,-2536,32767,634,9,843,1098,1442,1641,1785,1907,2002,3231,32767,1626,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.448808992310218,50.84869155938271]}"
00120000000000001842_3,6040,5600,5292,5687,5782,5733,6104,-2727,32767,712,9,816,1114,1488,1686,1773,1926,2002,2670,32767,1472,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.448951038290845,50.84869101303852]}"
00120000000000001842_4,5996,5604,5288,5687,5782,5733,6104,-2858,32767,716,9,835,1088,1480,1686,1773,1926,2018,2900,32767,1538,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.44909308426705,50.848690466521454]}"
00120000000000001842_5,6004,5628,5260,5687,5782,5733,6080,-2774,32767,723,9,780,1092,1504,1686,1773,1926,1998,2387,32767,1410,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.448950175144502,50.84860108845544]}"
00120000000000001842_6,6004,5596,5284,5687,5782,5733,6064,-2685,32767,687,9,809,1086,1490,1686,1773,1926,1998,2606,32767,1456,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.449092220847634,50.8486005419401]}"
0012000000000000186b_0,5656,5324,4992,5436,5571,5590,5760,-2862,32767,714,9,343,446,332,702,1761,2275,2046,29219,32767,7207,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.48114078399059,50.84325699047307]}"
0012000000000000186b_1,5700,5316,5052,5444,5576,5600,5820,-2901,32767,706,9,358,380,315,593,1318,1664,1426,32767,32767,6381,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.480997830577513,50.84316765169209]}"
0012000000000000186b_2,5672,5360,5004,5444,5576,5600,5820,-3047,32767,753,9,357,423,321,593,1318,1664,1976,32767,32767,7205,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.481139859137015,50.843167066216296]}"
0012000000000000186b_3,5692,5328,5028,5500,5581,5601,5824,-2971,32767,733,9,367,540,368,802,1905,2354,2700,27034,32767,7601,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.481281887691777,50.843166480567646]}"
0012000000000000186b_4,5672,5312,5064,5444,5576,5600,5796,-2877,32767,674,9,310,423,323,593,1318,1664,1848,26077,32767,7024,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.480996906001657,50.84307772743204]}"
